Welcome to DrJava.  Working directory is /Users/chelseama/Downloads
> run SearchComparison
10,723,2,2,3,28,2
20,16,1,1,7,12,1
40,37,2,2,39,36,1
80,67,3,4,155,62,1
160,184,8,8,965,273,3
320,370,14,16,1430,378,2
640,479,17,19,816,772,2
1280,984,35,37,2291,1324,1
2560,2012,90,92,12515,4477,3
5120,5696,168,167,46760,513,3
10240,1538,358,345,160092,953,3
20480,336,10,15,637692,2062,3
40960,685,21,50,2656958,5170,3
81920,1324,46,81,10970648,8964,5
163840,2662,94,345,0,18357,6
327680,5991,173,1191,0,36078,5
655360,11935,287,4572,0,74427,5
